,end_time,event_date,goes_class,goes_location,noaa_active_region,peak_time,start_time,flux
67,2015-11-11 12:06:00,2015-11-11,B6.3,"(0, 0)",12443,2015-11-11 11:58:00,2015-11-11 11:53:00,6.3e-07 W / m2
68,2015-11-12 01:29:00,2015-11-12,B8.9,"(0, 0)",0,2015-11-12 01:24:00,2015-11-12 01:09:00,8.9e-07 W / m2
69,2015-11-12 03:42:00,2015-11-12,B8.9,"(0, 0)",0,2015-11-12 03:37:00,2015-11-12 03:28:00,8.9e-07 W / m2
70,2015-11-12 15:21:00,2015-11-12,B4.3,"(0, 0)",0,2015-11-12 15:13:00,2015-11-12 15:03:00,4.3e-07 W / m2
71,2015-11-12 19:31:00,2015-11-12,B3.9,"(-51, -16)",12452,2015-11-12 19:26:00,2015-11-12 19:20:00,3.9e-07 W / m2
72,2015-11-13 01:36:00,2015-11-13,C1.2,"(-48, -17)",12452,2015-11-13 01:28:00,2015-11-13 01:20:00,1.2e-06 W / m2
73,2015-11-15 14:31:00,2015-11-15,B5.4,"(0, 0)",12449,2015-11-15 14:25:00,2015-11-15 14:19:00,5.4e-07 W / m2
74,2015-11-16 01:14:00,2015-11-15,B7.8,"(0, 0)",0,2015-11-16 00:08:00,2015-11-15 23:01:00,7.8e-07 W / m2
75,2015-11-17 13:31:00,2015-11-17,B5.8,"(-20, 5)",12454,2015-11-17 13:29:00,2015-11-17 13:26:00,5.8e-07 W / m2
76,2015-11-17 14:54:00,2015-11-17,B5.3,"(0, 0)",12454,2015-11-17 14:50:00,2015-11-17 14:38:00,5.3e-07 W / m2
77,2015-11-17 15:22:00,2015-11-17,B5.1,"(0, 0)",12454,2015-11-17 15:19:00,2015-11-17 15:16:00,5.1e-07 W / m2
78,2015-11-17 15:58:00,2015-11-17,C1.1,"(0, 0)",12454,2015-11-17 15:54:00,2015-11-17 15:51:00,1.1e-06 W / m2
79,2015-11-18 09:02:00,2015-11-18,B7.0,"(0, 0)",0,2015-11-18 08:52:00,2015-11-18 08:34:00,7e-07 W / m2
